Category,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Province,,,,
Total - Federal Support,5475,5772,5912,6122,6377,6611,6812,7078,7703,8165,Alberta,,,,
Per Capita Allocation (dollars),1312,1364,1395,1425,1464,1496,1534,1574,1646,1671,Alberta,,,,
Canada Health Transfer,4455,4731,5004,5204,5467,5678,5865,6217,6800,7172,British Columbia,,,,
Canada Social Transfer,1697,1751,1852,1910,1975,2037,2104,2192,2259,2329,British Columbia,,,,
Equalization,-,-,-,-,-,-,-,-,-,-,British Columbia,,,,
Total - Federal Support,6152,6482,6857,7114,7442,7715,7970,8408,9058,9501,British Columbia,,,,
Per Capita Allocation (dollars),1312,1364,1395,1425,1464,1496,1534,1574,1646,1671,British Columbia,,,,
Canada Health Transfer,35,38,40,42,44,46,49,51,55,58,Yukon,,,,
Canada Social Transfer,14,14,15,15,16,17,17,18,18,19,Yukon,,,,
Territorial Formula Financing,874,895,919,950,997,1055,1118,1174,1252,1350,Yukon,,,,
Total - Federal Support,923,946,975,1008,1058,1118,1184,1243,1326,1427,Yukon,,,,
Per Capita Allocation (dollars),24723,24909,24646,24898,25575,26519,27492,28417,29585,30976,Yukon,,,,
Canada Health Transfer,42,44,46,47,48,50,52,52,55,57,Northwest Territories,,,,
Canada Social Transfer,16,16,17,17,18,18,19,18,18,19,Northwest Territories,,,,
Territorial Formula Financing,1233,1220,1232,1256,1309,1413,1480,1519,1611,1699,Northwest Territories,,,,
Total - Federal Support,1291,1281,1295,1321,1375,1481,1550,1590,1685,1775,Northwest Territories,,,,
Per Capita Allocation (dollars),29232,28686,28820,29227,30526,32623,33925,35537,37555,39216,Northwest Territories,,,,
Canada Health Transfer,35,37,38,40,41,43,45,47,50,52,Nunavut,,,,
Canada Social Transfer,13,14,14,15,15,15,16,17,17,17,Nunavut,,,,
Territorial Formula Financing,1454,1489,1530,1579,1642,1713,1782,1859,1971,2109,Nunavut,,,,
Total - Federal Support,1502,1539,1582,1633,1698,1771,1843,1923,2038,2178,Nunavut,,,,
Per Capita Allocation (dollars),41192,41460,42235,42985,44019,45367,46488,47490,50066,53295,Nunavut,,,,
